language,case,default,morphological,noun_type,noun_class,number,conditioning,form,form_add,form_replace,form_delete,prosodic_form,prosody_clean,case_broad,form_add_s,form_add_prefix,form_add_suffix,form_add_all,vowel_pres,cons_pres,vowel_end,obstr_vl_pres,obstr_vl_count,obstr_vl_prop,last_vowel,last_vowel_qual,v_height,v_long,cons_end,cons_onset
Beja,nominative,FALSE,affix,NA,,,,-uu,-uu,,,NA,FALSE,nom-like,-uu,,uu,uu,TRUE,FALSE,TRUE,FALSE,0,0,uu,u,h,TRUE,FALSE,FALSE
Beja,vocative,FALSE,affix,NA,,,V_,-yi,-ji,,,NA,FALSE,vocative,-ji,,ji,ji,TRUE,TRUE,TRUE,FALSE,0,0,i,i,h,FALSE,FALSE,TRUE
Beja,vocative,FALSE,affix,NA,,,C_,-ay,-aj,,,NA,FALSE,vocative,-aj,,aj,aj,TRUE,FALSE,TRUE,FALSE,0,0,aj,a,l,TRUE,FALSE,FALSE
Bilua,vocative,FALSE,affix,"personal name, kinship term",,,,-o,-o,,,NA,FALSE,vocative,-o,,o,o,TRUE,FALSE,TRUE,FALSE,0,0,o,o,m,FALSE,FALSE,FALSE
Boraana Oromo,vocative,FALSE,affix,proper name,,,,-o:,-oo,,,NA,FALSE,vocative,-oo,,oo,oo,TRUE,FALSE,TRUE,FALSE,0,0,oo,o,m,TRUE,FALSE,FALSE
Boraana Oromo,vocative,FALSE,affix,proper name,,,,-so:,-soo,,,NA,FALSE,vocative,-soo,,soo,soo,TRUE,TRUE,TRUE,TRUE,1,0.3333333333333333,oo,o,m,TRUE,FALSE,TRUE
Boraana Oromo,vocative,FALSE,affix,proper name,,,,-ole:,-olee,,,NA,FALSE,vocative,-olee,,olee,olee,TRUE,TRUE,TRUE,FALSE,0,0,ee,e,m,TRUE,FALSE,TRUE
Boraana Oromo,vocative,FALSE,affix,proper name,,,,-e:,-ee,,,NA,FALSE,vocative,-ee,,ee,ee,TRUE,FALSE,TRUE,FALSE,0,0,ee,e,m,TRUE,FALSE,FALSE
Boraana Oromo,vocative,FALSE,affix,proper name,,,,-je:,-jee,,,NA,FALSE,vocative,-jee,,jee,jee,TRUE,TRUE,TRUE,FALSE,0,0,ee,e,m,TRUE,FALSE,TRUE
Boraana Oromo,vocative,FALSE,affix,proper name,,,,-itu:,-ituu,,,NA,FALSE,vocative,-ituu,,ituu,ituu,TRUE,TRUE,TRUE,TRUE,1,0.25,uu,u,h,TRUE,FALSE,TRUE
Cantonese,vocative,FALSE,particle,personal noun,,,,a ## __,a-,,,add final H tone,TRUE,vocative,a-,a,,a,TRUE,FALSE,NA,FALSE,0,0,a,a,l,FALSE,FALSE,FALSE
Chagatay,accusative,FALSE,affix,NA,,,,-ni / -nɯ,-ni,,,NA,FALSE,acc-like,-ni,,ni,ni,TRUE,TRUE,TRUE,FALSE,0,0,i,i,h,FALSE,FALSE,TRUE
Chagatay,accusative,FALSE,affix,NA,,,,-ni / -nɯ,-nɯ,,,NA,FALSE,acc-like,-nɯ,,nɯ,nɯ,TRUE,TRUE,TRUE,FALSE,0,0,ɯ,ɯ,h,FALSE,FALSE,TRUE
Chagatay,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chagatay,vocative,FALSE,particle,NA,,,,ay ## __,aj-,,,NA,FALSE,vocative,aj-,aj,,aj,TRUE,FALSE,NA,FALSE,0,0,aj,a,l,TRUE,FALSE,FALSE
Chuckchi,vocative,FALSE,no,NA,,,,NA,,,,reduced vowel in final syll--> full vowel,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuckchi,vocative,FALSE,no,NA,,,,NA,,,,epenthetic schwa in final syll --> o,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuckchi,vocative,FALSE,no,NA,,,,NA,zero,,,lengthening of all vowels,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuckchi,vocative,FALSE,no,NA,,,,NA,-j,,,vowel + j,FALSE,vocative,-j,,j,j,FALSE,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,FALSE,FALSE
Classical Arabic,accusative,FALSE,affix,NA,,,,-a,-a,,,NA,FALSE,acc-like,-a,,a,a,TRUE,FALSE,TRUE,FALSE,0,0,a,a,l,FALSE,FALSE,FALSE
Classical Arabic,nominative,FALSE,affix,NA,,,,-u,-u,,,NA,FALSE,nom-like,-u,,u,u,TRUE,FALSE,TRUE,FALSE,0,0,u,u,h,FALSE,FALSE,FALSE
Classical Arabic,vocative,FALSE,particle,NA,,,,ja: ##,jaa-,,,NA,FALSE,vocative,jaa-,jaa,,jaa,TRUE,TRUE,NA,FALSE,0,0,aa,a,l,TRUE,NA,NA
Eastern Burushaski,vocative,FALSE,prosodic,NA,,,,NA,zero,,,vowel lengthening,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Burushaski,absolutive,FALSE,affix,NA,,,,-e,-e,,,NA,FALSE,nom-like,-e,,e,e,TRUE,FALSE,TRUE,FALSE,0,0,e,e,m,FALSE,FALSE,FALSE
Eastern Burushaski,ergative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,acc-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fijian,vocative,FALSE,particle,personal name,,,,i ## _,i-,,,NA,FALSE,vocative,i-,i,,i,TRUE,FALSE,NA,FALSE,0,0,i,i,h,FALSE,FALSE,FALSE
