bookkeeping	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	markup_description	name	newick	pk	status	genus_name	family	color	latlong_combined	duplicate
False	0	0	0		151	11628	sgk	sang1320	{}	21.64	language	100.77		Sangkong	'Sangkong [sang1320][sgk]-l-'	14431	vulnerable		Sino-Tibetan	#CBCB65	21.64 100.77	FALSE
False	6	0	0		151	6305	nsa	sang1321	{}	25.8581	language	94.6279		Sangtam Naga	('Kizare [kiza1238]','Phelongre [phel1241]','Photsimi [phot1238]','Pirr [pirr1238]','Purr [purr1238]','Thukumi [thuk1239]')'Sangtam Naga [sang1321][nsa]-l-'	8819	vulnerable		Sino-Tibetan	#CBCB65	25.8581 94.6279	FALSE
False	0	0	0		10	15201	sag	sang1328	{}	6.78584	language	20.1702		Sango	'Sango [sang1328][sag]-l-'	17133	unknown/safe		Atlantic-Congo	#A9A9A9	6.78584 20.1702	FALSE
False	1	0	0		10	20549	xsn	sang1329	{}	10.4157	language	8.83882		Sanga (Nigeria)	('Bujiyel [buji1243]')'Sanga {Nigeria} [sang1329][xsn]-l-'	21586	unknown/safe		Atlantic-Congo	#A9A9A9	10.4157 8.83882	FALSE
False	0	0	0		10	17315	sbp	sang1330	{}	-6.3	language	39.35		Sangu (Tanzania)	'Sangu {Tanzania} [sang1330][sbp]-l-'	18897	unknown/safe		Atlantic-Congo	#A9A9A9	-6.3 39.35	FALSE
False	0	0	0		10	17446	sng	sang1331	{}	-10.0236	language	26.8462		Sanga (Democratic Republic of Congo)	'Sanga {Democratic Republic of Congo} [sang1331][sng]-l-'	19076	unknown/safe		Atlantic-Congo	#A9A9A9	-10.0236 26.8462	FALSE
False	0	0	0		10	22972	snq	sang1333	{}	-1.52694	language	11.9098		Sangu (Gabon)	'Sangu {Gabon} [sang1333][snq]-l-'	23104	unknown/safe		Atlantic-Congo	#A9A9A9	-1.52694 11.9098	FALSE
False	5	0	0		21	7876	sxn	sang1336	{}	5.444878	language	125.481047		Sangir	('Manganitu [mang1409]','North Tabukang [nort2872]','Siau {Sangir} [siau1244]','South Tabukang [sout2900]','Tamako [tama1333]')'Sangir [sang1336][sxn]-l-'	10603	unknown/safe		Austronesian	#A9A9A9	5.444878 125.481047	FALSE
False	2	0	0		21	7876	snl	sang1337	{}	5.40229	language	125.378		Sangil	('Mindanao [mind1256]','Sarangani [sara1325]')'Sangil [sang1337][snl]-l-'	10604	unknown/safe		Austronesian	#A9A9A9	5.40229 125.378	FALSE
False	0	0	0		21	5337	scg	sang1339	{}	-0.13152	language	110.404		Sanggau	'Sanggau [sang1339][scg]-l-'	7805	unknown/safe		Austronesian	#A9A9A9	-0.13152 110.404	FALSE
False	0	0	0		89	3971		sang1344	{"new": true}	36.45	language	71.3		Sanglechi	'Sanglechi [sang1344][sgy]-l-'	6011	unknown/safe		Indo-European	#A9A9A9	36.45 71.3	FALSE
False	0	0	0		151	19985	ysy	sani1265	{}	25.2	language	102.12		Sanie	'Sanie [sani1265][ysy]-l-'	21115	severely endangered		Sino-Tibetan	#FFCB00	25.2 102.12	FALSE
False	2	0	0		151	14427	ysn	sani1269	{}	24.278	language	103.759		Sani	('Northern Sani [nort2714]','Southern Sani [sout2721]')'Sani [sani1269][ysn]-l-'	16474	unknown/safe		Sino-Tibetan	#A9A9A9	24.278 103.759	FALSE
